id,image_path,ocr_avg_confidence,ocr_time_sec,extraction_method,vendor_name,date,total,line_items_json,is_valid,validation_issues,validation_pass_rate,processed_at,line_item_count,validation_issue_count
1,data\images\receipt_000.png,0.5616463374191822,2.656879425048828,rule_based,-TICKET Cp,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:55:23,0,3
2,data\images\receipt_001.png,0.4045703686321003,7.7318174839019775,rule_based,J.STE,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:55:31,0,3
3,data\images\receipt_002.png,0.48993459040937193,7.208157300949097,rule_based,"""S*IF MT",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:55:38,0,3
4,data\images\receipt_003.png,0.7502517811611314,7.770791292190552,rule_based,D,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:55:46,0,4
5,data\images\receipt_004.png,0.35838269969989156,8.863873958587646,rule_based,Jcd,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:55:55,0,3
6,data\images\receipt_005.png,0.7969772671882567,23.421598196029663,rule_based,TRAD Ky TOAST CARTE,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:56:18,0,3
7,data\images\receipt_006.png,0.5421959951857438,7.636516809463501,rule_based,Aell,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:56:26,0,3
8,data\images\receipt_007.png,0.43053033963748166,3.6753945350646973,rule_based,Kupor,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:56:30,0,3
9,data\images\receipt_008.png,0.8987936165106066,7.603753566741943,rule_based,"45,455",,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:56:37,0,4
10,data\images\receipt_009.png,0.8409228213471588,3.482942819595337,rule_based,Burnbu Kaldu Ayam,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:56:41,0,3
11,data\images\receipt_010.png,0.9210027321287196,3.629220962524414,rule_based,CINNAMON SUGAR,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:56:44,0,3
12,data\images\receipt_011.png,0.6454399527110694,3.2997562885284424,rule_based,~,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:56:48,0,4
13,data\images\receipt_012.png,0.3926410735235977,4.010812044143677,rule_based,0571-1854 BLUS,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:56:52,0,3
14,data\images\receipt_013.png,0.5380583203731739,8.306659936904907,rule_based,1,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:57:00,0,4
15,data\images\receipt_014.png,0.6348181623700532,23.217599153518677,rule_based,1 RedVelvel,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:57:23,0,3
16,data\images\receipt_015.png,0.7158483305919413,3.3911080360412598,rule_based,3,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:57:27,0,4
17,data\images\receipt_016.png,0.8523238861436899,7.514553546905518,rule_based,[LG] BLACK SAKURA,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:57:34,0,3
18,data\images\receipt_017.png,0.6754168003752846,8.094481945037842,rule_based,4,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:57:42,0,4
19,data\images\receipt_018.png,0.825713841335424,3.2846105098724365,rule_based,Propolis Cair,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:57:45,0,3
20,data\images\receipt_019.png,0.16911942484636952,3.6762301921844482,rule_based,~oL30 WBL ChS,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:57:49,0,3
21,data\images\receipt_020.png,0.7338850833057219,7.859160900115967,rule_based,S0Q,,17.9,[],0,"[""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:57:57,0,3
22,data\images\receipt_021.png,0.5561317957289262,8.939135313034058,rule_based,35. 000,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""Vendor name missing or implausible."", ""No line items extracted (informational, not a hard failure).""]",0.25,2026-07-29 13:58:06,0,4
23,data\images\receipt_022.png,0.6902880214814379,8.276736736297607,rule_based,2 [MDi  SOFT  STEAMED CHEESEC,,,[],0,"[""Missing or non-positive total."", ""Date missing, unparseable, or in the future: None"", ""No line items extracted (informational, not a hard failure).""]",0.5,2026-07-29 13:58:14,0,3
